id;province_id;city_id;city_name;pinyin;pinyin_first
347;5;150105;赛罕区;sai'han'qu;s'h'q
348;5;150121;土默特左旗;tu'mo'te'zuo'qi;t'm't'z'q
349;5;150122;托克托县;tuo'ke'tuo'xian;t'k't'x
350;5;150123;和林格尔县;he'lin'ge'er'xian;h'l'g'e'x
351;5;150124;清水河县;qing'shui'he'xian;q's'h'x
352;5;150125;武川县;wu'chuan'xian;w'c'x
353;5;150200;包头市;bao'tou'shi;b't's
354;5;150202;东河区;dong'he'qu;d'h'q
355;5;150203;昆都仑区;kun'dou'lun'qu;k'd'l'q
356;5;150204;青山区;qing'shan'qu;q's'q
357;5;150205;石拐区;shi'guai'qu;s'g'q
358;5;150206;白云鄂博矿区;bai'yun'e'bo'kuang'qu;b'y'e'b'k'q
359;5;150207;九原区;jiu'yuan'qu;j'y'q
360;5;150221;土默特右旗;tu'mo'te'you'qi;t'm't'y'q
361;5;150222;固阳县;gu'yang'xian;g'y'x
362;5;150223;达尔罕茂明安联合旗;da'er'han'mao'ming'an'lian'he'qi;d'e'h'm'm'a'l'h'q
363;5;150300;乌海市;wu'hai'shi;w'h's
364;5;150302;海勃湾区;hai'bo'wan'qu;h'b'w'q
365;5;150303;海南区;hai'nan'qu;h'n'q
366;5;150304;乌达区;wu'da'qu;w'd'q
367;5;150400;赤峰市;chi'feng'shi;c'f's
368;5;150402;红山区;hong'shan'qu;h's'q
369;5;150403;元宝山区;yuan'bao'shan'qu;y'b's'q
370;5;150404;松山区;song'shan'qu;s's'q
371;5;150421;阿鲁科尔沁旗;a'lu'ke'er'qin'qi;a'l'k'e'q'q
372;5;150422;巴林左旗;ba'lin'zuo'qi;b'l'z'q
373;5;150423;巴林右旗;ba'lin'you'qi;b'l'y'q
374;5;150424;林西县;lin'xi'xian;l'x'x
375;5;150425;克什克腾旗;ke'shen'ke'teng'qi;k's'k't'q
376;5;150426;翁牛特旗;weng'niu'te'qi;w'n't'q
377;5;150428;喀喇沁旗;ka'la'qin'qi;k'l'q'q
378;5;150429;宁城县;ning'cheng'xian;n'c'x
379;5;150430;敖汉旗;ao'han'qi;a'h'q
380;5;150500;通辽市;tong'liao'shi;t'l's
381;5;150502;科尔沁区;ke'er'qin'qu;k'e'q'q
382;5;150521;科尔沁左翼中旗;ke'er'qin'zuo'yi'zhong'qi;k'e'q'z'y'z'q
383;5;150522;科尔沁左翼后旗;ke'er'qin'zuo'yi'hou'qi;k'e'q'z'y'h'q
384;5;150523;开鲁县;kai'lu'xian;k'l'x
385;5;150524;库伦旗;ku'lun'qi;k'l'q
386;5;150525;奈曼旗;nai'man'qi;n'm'q
387;5;150526;扎鲁特旗;zha'lu'te'qi;z'l't'q
388;5;150581;霍林郭勒市;huo'lin'guo'lei'shi;h'l'g'l's
389;5;150600;鄂尔多斯市;e'er'duo'si'shi;e'e'd's's
390;5;150602;东胜区;dong'sheng'qu;d's'q
391;5;150621;达拉特旗;da'la'te'qi;d'l't'q
392;5;150622;准格尔旗;zhun'ge'er'qi;z'g'e'q
393;5;150623;鄂托克前旗;e'tuo'ke'qian'qi;e't'k'q'q
394;5;150624;鄂托克旗;e'tuo'ke'qi;e't'k'q
395;5;150625;杭锦旗;hang'jin'qi;h'j'q
396;5;150626;乌审旗;wu'shen'qi;w's'q
397;5;150627;伊金霍洛旗;yi'jin'huo'luo'qi;y'j'h'l'q
398;5;150700;呼伦贝尔市;hu'lun'bei'er'shi;h'l'b'e's
399;5;150702;海拉尔区;hai'la'er'qu;h'l'e'q
400;5;150721;阿荣旗;a'rong'qi;a'r'q
401;5;150722;莫力达瓦达斡尔族自治旗;mo'li'da'wa'da'wo'er'zu'zi'zhi'qi;m'l'd'w'd'w'e'z'z'z'q
402;5;150723;鄂伦春自治旗;e'lun'chun'zi'zhi'qi;e'l'c'z'z'q
403;5;150724;鄂温克族自治旗;e'wen'ke'zu'zi'zhi'qi;e'w'k'z'z'z'q
404;5;150725;陈巴尔虎旗;chen'ba'er'hu'qi;c'b'e'h'q
405;5;150726;新巴尔虎左旗;xin'ba'er'hu'zuo'qi;x'b'e'h'z'q
406;5;150727;新巴尔虎右旗;xin'ba'er'hu'you'qi;x'b'e'h'y'q
407;5;150781;满洲里市;man'zhou'li'shi;m'z'l's
408;5;150782;牙克石市;ya'ke'shi'shi;y'k's's
